Title,Brand,Reviews,Rating,Selling Price,Image URL,Product URL
"Calmaly Mart Cute Caterpillar Soft Toy for Kids Plush Stuffed Soft Plush Toy, Beautiful Soft Caterpillar Soft Toys for Kids (70 CM) (Multicolour)",Calmaly,5,4.3 out of 5 stars,176.,https://m.media-amazon.com/images/I/41PYB1xwDoL._AC_UL320_.jpg,
"DIKANG Unicorn Soft Toys for Kids | Kids Soft Toys for Baby Girl | Plush Soft Toys for Baby Boys and Girls | Unicorn Soft Toy for Kids (25CM, Yellow Unicorn)",DIKANG,705,4.2 out of 5 stars,199,https://m.media-amazon.com/images/I/51Hn5re1wpL._AC_UL320_.jpg,
"Kidology Baby Plush Toy with Music, Lights & Breathing Motion, Interactive Teddy Bear for Sensory Learning, Soft Stuffed Animal for Newborn Babies, Musical Toy Kids Valentine Gift for Her (Grey) – 30cm",Kidology,111,3.9 out of 5 stars,899,https://m.media-amazon.com/images/I/81iRpnyU8JL._AC_UL320_.jpg,
SCOOBA Soft Adorable Zeffy Doll 45cm - Polyfill Washable Cuddly Soft Plush Toy - Helps to Learn Role Play - 100% Safe for Kids (zeffy Doll-Pink),SCOOBA,206,4.0 out of 5 stars,568,https://m.media-amazon.com/images/I/41UyPjxcfxL._AC_UL320_.jpg,
Storescent Super Soft Avocado Cushion Stuffed Toy Cute Plush Animal Soft Toy for Kids (Avocado 35cm),Storescent,"1,540",4.1 out of 5 stars,367.,https://m.media-amazon.com/images/I/41TFpxuBMLL._AC_UL320_.jpg,
Mirada Cute Peach Bunny Soft Toy for Girls/Kids | Huggable Rabbit with Long Ears | Soft Stuffed Plush Animal | - 35cm,Mirada,"1,690",4.5 out of 5 stars,659,https://m.media-amazon.com/images/I/611IF26tznL._AC_UL320_.jpg,
"HUG 'n' FEEL SOFT TOYS Teddy Bear, Soft Toys, Teddy Bear 3 feet for Girls, Birthday Gift for Girls, Birthday Gift, Boyfriend, Husband, Wedding, for Couple Special, Plush & Stuffed Toys (3 feet, Pink)",HUG,"34,312",4.0 out of 5 stars,785,https://m.media-amazon.com/images/I/71LyxHucSsL._AC_UL320_.jpg,
Storescent Soft Toys for Kids - Stuffed Animal Plush Soft Toy for Boys & Girls | Brown Bear 45cm,Storescent,"1,540",4.1 out of 5 stars,532.,https://m.media-amazon.com/images/I/61tweDdAsGL._AC_UL320_.jpg,
Babique Monkey Teddy Bear Soft Toy Boy/Girl/Baby Kids Birthday Gift (25 Cm),Babique,5,3.2 out of 5 stars,169,https://m.media-amazon.com/images/I/71O6QCzCDeL._AC_UL320_.jpg,
"SUPER TOY Cute Sleeping Cat Plush Toy with Meow Sound, Gift for Kids Car Dashboard Accessories (Stripped Orange)",SUPER,272,4.2 out of 5 stars,299,https://m.media-amazon.com/images/I/61KqvIOniLL._AC_UL320_.jpg,
"Mirada Lion Face Plush - Adorably Detailed - Quality & Soft Stuffed Animal Toy - Ideal Gift for Kids, Boys, Girls & Animal Lovers - 14 cm",Mirada,25,4.4 out of 5 stars,237,https://m.media-amazon.com/images/I/81gkwnIPuGL._AC_UL320_.jpg,
Mirada Beagle Dog Soft Toy | Cute and Cuddly Beagle Plush Animal | Birthday Gift for Kids -24 cm,Mirada,45,4.1 out of 5 stars,521,https://m.media-amazon.com/images/I/71bYsMfWV1L._AC_UL320_.jpg,
Mini Steps Reversible Octopus Plush Toy for Kids | Ultra-Soft & Washable Stuffed Animal for Toddlers | Cute Flip Soft Toy for Boys & Girls | Non-Toxic Gift for Babies & Children,Mini,8,4.8 out of 5 stars,189,https://m.media-amazon.com/images/I/61zwSwHtHaL._AC_UL320_.jpg,
Webby Adorable Elephant Wrist Band Soft Toys | Slap Bracelet for Party Favors | Plush Stuffed Animal | Christmas | Birthday Gift | Party Surprise for Kids Teenager Boys and Girls,Webby,15,4.3 out of 5 stars,429,https://m.media-amazon.com/images/I/71UKb7ozdhL._AC_UL320_.jpg,
